"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: noOfElements"
"DataStructures.Insertion.LinkedListAddAtEnd","avgt",1,1,76.992669,NaN,"ns/op",10
"DataStructures.Insertion.LinkedListAddAtEnd","avgt",1,1,192.786392,NaN,"ns/op",100
"DataStructures.Insertion.LinkedListAddAtEnd","avgt",1,1,603.787879,NaN,"ns/op",1000
"DataStructures.Insertion.LinkedListAddAtIndex","avgt",1,1,90.648183,NaN,"ns/op",10
"DataStructures.Insertion.LinkedListAddAtIndex","avgt",1,1,1496.505782,NaN,"ns/op",100
"DataStructures.Insertion.LinkedListAddAtIndex","avgt",1,1,9926.044568,NaN,"ns/op",1000
"DataStructures.Insertion.arrayAddAtEnd","avgt",1,1,210.465871,NaN,"ns/op",10
"DataStructures.Insertion.arrayAddAtEnd","avgt",1,1,453.743480,NaN,"ns/op",100
"DataStructures.Insertion.arrayAddAtEnd","avgt",1,1,1774.033816,NaN,"ns/op",1000
"DataStructures.Insertion.arrayAddAtIndex","avgt",1,1,76.795908,NaN,"ns/op",10
"DataStructures.Insertion.arrayAddAtIndex","avgt",1,1,336.789564,NaN,"ns/op",100
"DataStructures.Insertion.arrayAddAtIndex","avgt",1,1,2030.684327,NaN,"ns/op",1000
"DataStructures.Insertion.arrayListAddAtEnd","avgt",1,1,1247.301886,NaN,"ns/op",10
"DataStructures.Insertion.arrayListAddAtEnd","avgt",1,1,217.282091,NaN,"ns/op",100
"DataStructures.Insertion.arrayListAddAtEnd","avgt",1,1,1255.992141,NaN,"ns/op",1000
"DataStructures.Insertion.arrayListAddAtIndex","avgt",1,1,99213.429731,NaN,"ns/op",10
"DataStructures.Insertion.arrayListAddAtIndex","avgt",1,1,464298.510029,NaN,"ns/op",100
"DataStructures.Insertion.arrayListAddAtIndex","avgt",1,1,809197.280335,NaN,"ns/op",1000
"DataStructures.Insertion.hashSetAdd","avgt",1,1,149.922057,NaN,"ns/op",10
"DataStructures.Insertion.hashSetAdd","avgt",1,1,346.043165,NaN,"ns/op",100
"DataStructures.Insertion.hashSetAdd","avgt",1,1,893.025078,NaN,"ns/op",1000
"DataStructures.Insertion.hashSetAddDuplicate","avgt",1,1,92.151363,NaN,"ns/op",10
"DataStructures.Insertion.hashSetAddDuplicate","avgt",1,1,220.645031,NaN,"ns/op",100
"DataStructures.Insertion.hashSetAddDuplicate","avgt",1,1,881.673640,NaN,"ns/op",1000
"DataStructures.Insertion.treeSetAdd","avgt",1,1,92.207760,NaN,"ns/op",10
"DataStructures.Insertion.treeSetAdd","avgt",1,1,246.062680,NaN,"ns/op",100
"DataStructures.Insertion.treeSetAdd","avgt",1,1,856.711111,NaN,"ns/op",1000
"DataStructures.Insertion.treeSetAddDuplicate","avgt",1,1,64.620977,NaN,"ns/op",10
"DataStructures.Insertion.treeSetAddDuplicate","avgt",1,1,295.260993,NaN,"ns/op",100
"DataStructures.Insertion.treeSetAddDuplicate","avgt",1,1,1060.090498,NaN,"ns/op",1000
